0.041;0.219
0.694;0.205
1.479;0.187
2.450;0.164
3.306;0.134
4.191;0.106
4.901;0.088
5.768;0.072
6.740;0.057
7.639;0.059
8.575;0.059
9.520;0.056
10.421;0.050
11.376;0.078
12.477;0.071
13.265;0.076
14.201;0.065
15.210;0.062
16.145;0.058
17.081;0.058
18.017;0.057
18.981;0.049
19.883;0.035
20.850;0.032
21.760;0.040
22.695;0.052
23.631;0.020
24.567;0.011
25.502;0.013
26.438;0.010
27.374;0.013
28.310;0.010
29.291;0
30.167;0
31.117;0
32.052;0.010
32.988;0.012
33.924;0.009
34.859;0.011
35.795;0.009
36.731;0.011
37.667;0.009
38.602;0.004
39.611;0.006
40.401;0
41.409;0.005
42.345;0.010
43.281;0.008
44.216;0.010
45.152;0.007
46.088;0.010
47.024;0.021
47.959;0.027
48.895;0.029
49.859;0.005
